code;name_old;name_new;row_old;row_new;price_old;price_new;delta;pct;unit_old;unit_new;weight_old;weight_new;price_ton_old;price_ton_new;name_changed;unit_changed;weight_changed
2295;Фальц Standart (ФК4) 0,7;Фальц Standart (ФК4) 0,7;2120;1741;1144.0;1223.0;79.0;0.06905594405594405;м2;м2;5.4263;5.4263;210826.0;225384.0;False;False;False
105436;Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,7;Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,7;1315;264;131.0;140.0;9.0;0.06870229007633588;п.м;п.м;0.611;0.611;214403.0;229133.0;False;False;False
105959;Штакетник 20х50х20 (ШТ 20х50х20) 0,7;Штакетник 20х50х20 (ШТ 20х50х20) 0,7;2160;270;131.0;140.0;9.0;0.06870229007633588;п.м;п.м;0.611;0.611;214403.0;229133.0;False;False;False
2212;"Панель фасадная ""3А"" (ПФ3А) 0,7";"Панель фасадная ""3А"" (ПФ3А) 0,7";883;1584;1240.0;1325.0;85.0;0.06854838709677419;м2;м2;6.11;6.11;202946.0;216858.0;False;False;False
2255;"Панель фасадная ""1А"" (ПФ1А) 0,7";"Панель фасадная ""1А"" (ПФ1А) 0,7";869;1578;1240.0;1325.0;85.0;0.06854838709677419;м2;м2;6.11;6.11;202946.0;216858.0;False;False;False
2257;"Панель фасадная ""2А"" (ПФ2А) 0,7";"Панель фасадная ""2А"" (ПФ2А) 0,7";876;1581;1240.0;1325.0;85.0;0.06854838709677419;м2;м2;6.11;6.11;202946.0;216858.0;False;False;False
1159;ПП 220х45 без перфор. 0,7 (Оцинк.);ПП 220х45 без перфор. 0,7 (Оцинк.);1247;441;207.0;221.0;14.0;0.06763285024154589;п.м;п.м;1.5429;1.5429;134163.0;143237.0;False;False;False
1173;ПС 195х45 без перфор. 0,7 (Оцинк.);ПС 195х45 без перфор. 0,7 (Оцинк.);1576;463;207.0;221.0;14.0;0.06763285024154589;п.м;п.м;1.5556;1.5556;133068.0;142067.0;False;False;False
1231;НПП 60х17х0,7 (Оцинк.);НПП 60х17х0,7 (Оцинк.);720;326;74.0;79.0;5.0;0.06756756756756757;п.м;п.м;0.546;0.546;135531.0;144689.0;False;False;False
1222;НПП 60х27х0,7 (Оцинк.);НПП 60х27х0,7 (Оцинк.);725;328;89.0;95.0;6.0;0.06741573033707865;п.м;п.м;0.6603;0.6603;134787.0;143874.0;False;False;False
1640;Планка откосная 250 (ОПс250) 3м (Оцинк.);Планка откосная 250 (ОПс250) 3м (Оцинк.);1125;1275;801.0;855.0;54.0;0.06741573033707865;шт;шт;3.906;3.906;205069.0;218894.0;False;False;False
120654;"Панель фасадная ""3А"" (ПФ3А) декор";"Панель фасадная ""3А"" (ПФ3А) декор";886;1585;951.0;1015.0;64.0;0.06729758149316509;м2;м2;4.45;4.45;213708.0;228090.0;False;False;False
38432;"Панель фасадная ""1А"" (ПФ1А) декор";"Панель фасадная ""1А"" (ПФ1А) декор";872;1579;951.0;1015.0;64.0;0.06729758149316509;м2;м2;4.45;4.45;213708.0;228090.0;False;False;False
38433;"Панель фасадная ""2А"" (ПФ2А) декор";"Панель фасадная ""2А"" (ПФ2А) декор";879;1582;951.0;1015.0;64.0;0.06729758149316509;м2;м2;4.45;4.45;213708.0;228090.0;False;False;False
105437;Профиль шляпный 20х80х20 (НПШ 20х50х20) 0,7;Профиль шляпный 20х80х20 (НПШ 20х50х20) 0,7;1333;266;164.0;175.0;11.0;0.06707317073170732;п.м;п.м;0.764;0.764;214660.0;229058.0;False;False;False
105961;Штакетник 20х80х20 (ШТ 20х80х20) 0,7;Штакетник 20х80х20 (ШТ 20х80х20) 0,7;2167;273;164.0;175.0;11.0;0.06707317073170732;п.м;п.м;0.764;0.764;214660.0;229058.0;False;False;False
2694;Угол откосный 240х132 (УО240х132) 0,7х3м;Угол откосный 240х132 (УО240х132) 0,7х3м;2016;1330;1594.0;1700.0;106.0;0.06649937264742785;шт;шт;5.499;5.499;289871.0;309147.0;False;False;False
1465;Водоотлив 255 (ВО255) 0,7х3м;Водоотлив 255 (ВО255) 0,7х3м;70;1292;1345.0;1434.0;89.0;0.06617100371747212;шт;шт;4.583;4.583;293476.0;312895.0;False;False;False
2682;Угол откосный 180х132 (УО180х132) 0,7х3м;Угол откосный 180х132 (УО180х132) 0,7х3м;2007;1325;1345.0;1434.0;89.0;0.06617100371747212;шт;шт;4.583;4.583;293476.0;312895.0;False;False;False
2700;Угол откосный 240х70 (УО240х70) 0,7х3м;Угол откосный 240х70 (УО240х70) 0,7х3м;2020;1332;1345.0;1434.0;89.0;0.06617100371747212;шт;шт;4.583;4.583;293476.0;312895.0;False;False;False
105244;Профиль шляпный 20х80х20 (НПШ 20х80х20) 0,7 (Оцинк.);Профиль шляпный 20х80х20 (НПШ 20х80х20) 0,7 (Оцинк.);1337;484;106.0;113.0;7.0;0.0660377358490566;п.м;п.м;0.8064;0.8064;131448.0;140129.0;False;False;False
1585;Водоотлив 250 (Вс250) 3м (Оцинк.);Водоотлив 250 (Вс250) 3м (Оцинк.);68;1268;684.0;729.0;45.0;0.06578947368421052;шт;шт;3.255;3.255;210138.0;223963.0;False;False;False
1638;Планка откосная 180 (ОПс180) 3м (Оцинк.);Планка откосная 180 (ОПс180) 3м (Оцинк.);1121;1274;684.0;729.0;45.0;0.06578947368421052;шт;шт;3.255;3.255;210138.0;223963.0;False;False;False
1656;Угол наружный (УСНс) 3м (Оцинк.);Угол наружный (УСНс) 3м (Оцинк.);2005;1279;684.0;729.0;45.0;0.06578947368421052;шт;шт;3.255;3.255;210138.0;223963.0;False;False;False
1224;ПZ 105 без перфор. 0,7 (Оцинк.);ПZ 105 без перфор. 0,7 (Оцинк.);760;331;137.0;146.0;9.0;0.06569343065693431;п.м;п.м;1.06;1.06;129245.0;137736.0;False;False;False
2232;СпецПрофиль 0,7;СпецПрофиль 0,7;1688;1369;1441.0;1535.0;94.0;0.0652324774462179;м2;м2;4.888;4.888;294804.0;314034.0;False;False;False
1617;Конек плоский (КП) 2м (Оцинк.);Конек плоский (КП) 2м (Оцинк.);339;1183;620.0;660.0;40.0;0.06451612903225806;шт;шт;2.895;2.895;214162.0;227979.0;False;False;False
1641;Профиль пристенный (ПП) 2м (Оцинк.);Профиль пристенный (ПП) 2м (Оцинк.);1306;1186;620.0;660.0;40.0;0.06451612903225806;шт;шт;2.895;2.895;214162.0;227979.0;False;False;False
2621;Фартук нижний (ФН) 2м (Оцинк.);Фартук нижний (ФН) 2м (Оцинк.);2124;1187;620.0;660.0;40.0;0.06451612903225806;шт;шт;2.895;2.895;214162.0;227979.0;False;False;False
11180;Тяга для трубч. снегозадержателя (ТгСз/1);Тяга для трубч. снегозадержателя (ТгСз/1);1992;1660;419.0;446.0;27.0;0.06443914081145585;шт;шт;0.38;0.38;1102632.0;1173684.0;False;False;False
84793;ПГС 105x45 без перфор. 0,7 (Оцинк.);ПГС 105x45 без перфор. 0,7 (Оцинк.);924;377;140.0;149.0;9.0;0.06428571428571428;п.м;п.м;1.0477;1.0477;133626.0;142216.0;False;False;False
1459;Водоотлив 195 (ВО195)х0,7 3м;Водоотлив 195 (ВО195)х0,7 3м;65;1289;1097.0;1167.0;70.0;0.06381039197812215;шт;шт;3.666;3.666;299236.0;318331.0;False;False;False
2688;Угол откосный 180х70 (УО180х70) 0,7х3м;Угол откосный 180х70 (УО180х70) 0,7х3м;2011;1327;1097.0;1167.0;70.0;0.06381039197812215;шт;шт;3.666;3.666;299236.0;318331.0;False;False;False
2716;Уголок внутр. 125 (УВ125) 0,7х3м;Уголок внутр. 125 (УВ125) 0,7х3м;2064;1334;1097.0;1167.0;70.0;0.06381039197812215;шт;шт;3.666;3.666;299236.0;318331.0;False;False;False
2722;Уголок наруж. 125 (УН125) 0,7х3м;Уголок наруж. 125 (УН125) 0,7х3м;2080;1340;1097.0;1167.0;70.0;0.06381039197812215;шт;шт;3.666;3.666;299236.0;318331.0;False;False;False
1144;ПП 145х45 без перфор. 0,7 (Оцинк.);ПП 145х45 без перфор. 0,7 (Оцинк.);1157;419;157.0;167.0;10.0;0.06369426751592357;п.м;п.м;1.1619;1.1619;135124.0;143730.0;False;False;False
1583;Водоотлив 180 (Вс180) 3м (Оцинк.);Водоотлив 180 (Вс180) 3м (Оцинк.);62;1267;568.0;604.0;36.0;0.06338028169014084;шт;шт;2.604;2.604;218126.0;231951.0;False;False;False
1632;Нащельник (Нс) 3м (Оцинк.);Нащельник (Нс) 3м (Оцинк.);657;1270;568.0;604.0;36.0;0.06338028169014084;шт;шт;2.604;2.604;218126.0;231951.0;False;False;False
1655;Угол внутренний (УСВс) 3м (Оцинк.);Угол внутренний (УСВс) 3м (Оцинк.);2000;1278;568.0;604.0;36.0;0.06338028169014084;шт;шт;2.604;2.604;218126.0;231951.0;False;False;False
1150;ПП 170х45 без перфор. 0,7 (Оцинк.);ПП 170х45 без перфор. 0,7 (Оцинк.);1195;429;174.0;185.0;11.0;0.06321839080459771;п.м;п.м;1.289;1.289;134988.0;143522.0;False;False;False
122474;Нащельник (Нс) 3м (Колор-поток с двух сторон);Нащельник (Нс) 3м (Колор-поток с двух сторон);655;1260;1320.0;1403.0;83.0;0.06287878787878788;шт;шт;2.604;2.604;506912.0;538786.0;False;False;False
1165;ПС 145х45 без перфор. 0,7 (Оцинк.);ПС 145х45 без перфор. 0,7 (Оцинк.);1526;451;175.0;186.0;11.0;0.06285714285714286;п.м;п.м;1.3016;1.3016;134450.0;142901.0;False;False;False
1153;ПП 195х45 без перфор. 0,7 (Оцинк.);ПП 195х45 без перфор. 0,7 (Оцинк.);1212;433;191.0;203.0;12.0;0.06282722513089005;п.м;п.м;1.4159;1.4159;134897.0;143372.0;False;False;False
1156;ПП 200х45 без перфор. 0,7 (Оцинк.);ПП 200х45 без перфор. 0,7 (Оцинк.);1229;437;194.0;206.0;12.0;0.061855670103092786;п.м;п.м;1.4413;1.4413;134601.0;142927.0;False;False;False
1168;ПС 150х45 без перфор. 0,7 (Оцинк.);ПС 150х45 без перфор. 0,7 (Оцинк.);1540;455;178.0;189.0;11.0;0.06179775280898876;п.м;п.м;1.327;1.327;134137.0;142427.0;False;False;False
1228;НПГ 45х55х0,7 (Оцинк.);НПГ 45х55х0,7 (Оцинк.);660;578;65.0;69.0;4.0;0.06153846153846154;п.м;п.м;0.5016;0.5016;129585.0;137560.0;False;False;False
1176;ПС 200х45 без перфор. 0,7 (Оцинк.);ПС 200х45 без перфор. 0,7 (Оцинк.);1591;467;212.0;225.0;13.0;0.06132075471698113;п.м;п.м;1.581;1.581;134092.0;142315.0;False;False;False
1142;ПП 110х45 без перфор. 0,7 (Оцинк.);ПП 110х45 без перфор. 0,7 (Оцинк.);1148;416;133.0;141.0;8.0;0.06015037593984962;п.м;п.м;1.0631;1.0631;125106.0;132631.0;False;False;False
